tolerance_m,expand_px,morph,n_components,n_plausible,n_noisy,n_too_large,score,mean_xy_span_x_mm,mean_xy_span_y_mm,max_area_px,min_area_px
0.001,0,none,4,4,0,0,4.0,53.428417968750026,59.512792968750034,6700,2239
0.001,1,none,4,4,0,0,4.0,54.94951171875003,61.033886718750026,7034,2439
0.001,2,none,4,4,0,0,4.0,56.47060546875004,62.55498046875003,7376,2711
0.001,3,none,4,4,0,0,4.0,57.99169921875003,64.07607421875002,7722,2923
0.001,4,none,4,4,0,0,4.0,59.51279296875003,65.59716796875003,8076,3145
0.001,0,close_3,4,4,0,0,4.0,53.428417968750026,59.512792968750034,6700,2239
0.001,1,close_3,4,4,0,0,4.0,54.94951171875003,61.033886718750026,7034,2439
0.001,2,close_3,4,4,0,0,4.0,56.47060546875004,62.55498046875003,7376,2711
0.001,3,close_3,4,4,0,0,4.0,57.99169921875003,64.07607421875002,7722,2923
0.001,4,close_3,4,4,0,0,4.0,59.51279296875003,65.59716796875003,8076,3145
0.001,0,close_5,4,4,0,0,4.0,53.428417968750026,59.512792968750034,6700,2239
0.001,1,close_5,4,4,0,0,4.0,54.94951171875003,61.033886718750026,7034,2439
0.001,2,close_5,4,4,0,0,4.0,56.47060546875004,62.55498046875003,7376,2711
0.001,3,close_5,4,4,0,0,4.0,57.99169921875003,64.07607421875002,7722,2923
0.001,4,close_5,4,4,0,0,4.0,59.51279296875003,65.59716796875003,8076,3145
0.002,0,none,4,4,0,0,4.0,53.428417968750026,59.32265625000004,6633,2223
0.002,1,none,4,4,0,0,4.0,54.94951171875003,60.84375000000003,6965,2423
0.002,2,none,4,4,0,0,4.0,56.47060546875004,62.364843750000034,7305,2695
0.002,3,none,4,4,0,0,4.0,57.99169921875003,63.88593750000003,7649,2907
0.002,4,none,4,4,0,0,4.0,59.51279296875003,65.40703125000003,8001,3128
0.002,0,close_3,4,4,0,0,4.0,53.428417968750026,59.32265625000004,6633,2223
0.002,1,close_3,4,4,0,0,4.0,54.94951171875003,60.84375000000003,6965,2423
0.002,2,close_3,4,4,0,0,4.0,56.47060546875004,62.364843750000034,7305,2695
0.002,3,close_3,4,4,0,0,4.0,57.99169921875003,63.88593750000003,7649,2907
0.002,4,close_3,4,4,0,0,4.0,59.51279296875003,65.40703125000003,8001,3128
0.002,0,close_5,4,4,0,0,4.0,53.428417968750026,59.32265625000004,6633,2223
0.002,1,close_5,4,4,0,0,4.0,54.94951171875003,60.84375000000003,6965,2423
0.002,2,close_5,4,4,0,0,4.0,56.47060546875004,62.364843750000034,7305,2695
0.002,3,close_5,4,4,0,0,4.0,57.99169921875003,63.88593750000003,7649,2907
0.002,4,close_5,4,4,0,0,4.0,59.51279296875003,65.40703125000003,8001,3128
0.003,0,none,4,4,0,0,4.0,52.66787109375004,59.13251953125004,6534,2201
0.003,1,none,4,4,0,0,4.0,54.18896484375002,60.65361328125003,6864,2399
0.003,2,none,4,4,0,0,4.0,55.71005859375003,62.17470703125004,7202,2669
0.003,3,none,4,4,0,0,4.0,57.231152343750026,63.69580078125003,7544,2879
0.003,4,none,4,4,0,0,4.0,58.75224609375003,65.21689453125003,7894,3099
0.003,0,close_3,4,4,0,0,4.0,52.66787109375004,59.13251953125004,6534,2201
0.003,1,close_3,4,4,0,0,4.0,54.18896484375002,60.65361328125003,6864,2399
0.003,2,close_3,4,4,0,0,4.0,55.71005859375003,62.17470703125004,7202,2669
0.003,3,close_3,4,4,0,0,4.0,57.231152343750026,63.69580078125003,7544,2879
0.003,4,close_3,4,4,0,0,4.0,58.75224609375003,65.21689453125003,7894,3099
0.003,0,close_5,4,4,0,0,4.0,52.66787109375004,59.13251953125004,6534,2201
0.003,1,close_5,4,4,0,0,4.0,54.18896484375002,60.65361328125003,6864,2399
0.003,2,close_5,4,4,0,0,4.0,55.71005859375003,62.17470703125004,7202,2669
0.003,3,close_5,4,4,0,0,4.0,57.231152343750026,63.69580078125003,7544,2879
0.003,4,close_5,4,4,0,0,4.0,58.75224609375003,65.21689453125003,7894,3099
0.005,0,none,4,4,0,0,4.0,52.66787109375004,58.75224609375003,6468,2166
0.005,1,none,4,4,0,0,4.0,54.18896484375002,60.27333984375002,6796,2364
0.005,2,none,4,4,0,0,4.0,55.71005859375003,61.79443359375003,7132,2634
0.005,3,none,4,4,0,0,4.0,57.231152343750026,63.315527343750034,7472,2844
0.005,4,none,4,4,0,0,4.0,58.75224609375003,64.83662109375003,7820,3063
0.005,0,close_3,4,4,0,0,4.0,52.66787109375004,58.75224609375003,6468,2166
0.005,1,close_3,4,4,0,0,4.0,54.18896484375002,60.27333984375002,6796,2364
0.005,2,close_3,4,4,0,0,4.0,55.71005859375003,61.79443359375003,7132,2634
0.005,3,close_3,4,4,0,0,4.0,57.231152343750026,63.315527343750034,7472,2844
0.005,4,close_3,4,4,0,0,4.0,58.75224609375003,64.83662109375003,7820,3063
0.005,0,close_5,4,4,0,0,4.0,52.66787109375004,58.75224609375003,6468,2166
0.005,1,close_5,4,4,0,0,4.0,54.18896484375002,60.27333984375002,6796,2364
0.005,2,close_5,4,4,0,0,4.0,55.71005859375003,61.79443359375003,7132,2634
0.005,3,close_5,4,4,0,0,4.0,57.231152343750026,63.315527343750034,7472,2844
0.005,4,close_5,4,4,0,0,4.0,58.75224609375003,64.83662109375003,7820,3063
0.008,0,none,4,4,0,0,4.0,51.90732421875003,58.181835937500026,6370,2117
0.008,1,none,4,4,0,0,4.0,53.428417968750026,59.70292968750003,6696,2312
0.008,2,none,4,4,0,0,4.0,54.94951171875003,61.22402343750002,7030,2578
0.008,3,none,4,4,0,0,4.0,56.47060546875004,62.74511718750003,7368,2785
0.008,4,none,4,4,0,0,4.0,57.99169921875003,64.26621093750003,7714,3002
0.008,0,close_3,4,4,0,0,4.0,51.90732421875003,58.181835937500026,6370,2117
0.008,1,close_3,4,4,0,0,4.0,53.428417968750026,59.70292968750003,6696,2312
0.008,2,close_3,4,4,0,0,4.0,54.94951171875003,61.22402343750002,7030,2578
0.008,3,close_3,4,4,0,0,4.0,56.47060546875004,62.74511718750003,7368,2785
0.008,4,close_3,4,4,0,0,4.0,57.99169921875003,64.26621093750003,7714,3002
0.008,0,close_5,4,4,0,0,4.0,51.90732421875003,58.181835937500026,6370,2117
0.008,1,close_5,4,4,0,0,4.0,53.428417968750026,59.70292968750003,6696,2312
0.008,2,close_5,4,4,0,0,4.0,54.94951171875003,61.22402343750002,7030,2578
0.008,3,close_5,4,4,0,0,4.0,56.47060546875004,62.74511718750003,7368,2785
0.008,4,close_5,4,4,0,0,4.0,57.99169921875003,64.26621093750003,7714,3002
