scope,model,n,tp,fp,tn,fn,accuracy,precision,recall,f1
standard/train,logreg,18411,3693,1328,13261,129,0.920863,0.735511,0.966248,0.835237
standard/val,logreg,3912,824,247,2824,17,0.932515,0.769374,0.979786,0.861925
standard/test,logreg,3885,747,292,2829,17,0.920463,0.718961,0.977749,0.828619
standard/train,tree,18411,3806,921,13668,16,0.949107,0.805162,0.995814,0.890397
standard/val,tree,3912,839,177,2894,2,0.954243,0.825787,0.997622,0.903608
standard/test,tree,3885,760,222,2899,4,0.941828,0.773931,0.994764,0.870561
lofo/convex_irregular_polygon,logreg,5040,317,271,4429,23,0.941667,0.539116,0.932353,0.68319
lofo/convex_irregular_polygon,tree,5040,321,302,4398,19,0.93631,0.515249,0.944118,0.666667
lofo/ellipse,logreg,5040,1511,573,2887,69,0.872619,0.725048,0.956329,0.824782
lofo/ellipse,tree,5040,1580,370,3090,0,0.926587,0.810256,1.0,0.895184
lofo/rectangle,logreg,5040,834,333,3835,38,0.926389,0.714653,0.956422,0.818048
lofo/rectangle,tree,5040,776,206,3962,96,0.940079,0.790224,0.889908,0.837109
lofo/regular_polygon,logreg,5040,1805,510,2672,53,0.888294,0.779698,0.971475,0.865085
lofo/regular_polygon,tree,5040,1783,329,2853,75,0.919841,0.844223,0.959634,0.898237
lofo/rounded_rectangle,logreg,5040,543,117,4279,101,0.956746,0.822727,0.843168,0.832822
lofo/rounded_rectangle,tree,5040,296,150,4246,348,0.90119,0.663677,0.459627,0.543119
mvp/all,logreg,1008,133,167,708,0,0.834325,0.443333,1.0,0.614319
mvp/all,tree,1008,133,56,819,0,0.944444,0.703704,1.0,0.826087
